id	accession	raw_id	primary_id	sra_id	bp_id	model	package	package_name	status	status_date	taxonomy_id	taxonomy_name	title	samp_name	paragraph	collection_date	geo_loc_name	host	isolation_source	lat_lon	nitro	phosphate	replicate	samp_collect_device	source_material_id	temp
BIOSAMPLE:SAMN15782465	SAMN15782465	15782465	SAMN15782465	SRS7229261	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.293	408172	marine metagenome	AMT2018_021_meta	AMT2018_021	Station 11	2018-09-30T13:59:00Z	Atlantic Ocean	NA	marine water, oceanic	35.282733 N 20.923433 W	0.000 umol/L	0.040 umol/L		CTD	AMT021	23.550 C
BIOSAMPLE:SAMN15782466	SAMN15782466	15782466	SAMN15782466	SRS7229272	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.310	408172	marine metagenome	AMT2018_023_meta	AMT2018_023	Station 12	2018-10-01T05:38:00Z	Atlantic Ocean	NA	marine water, oceanic	33.046883 N 22.136800 W	0.000 umol/L	0.000 umol/L		CTD	AMT023	24.280 C
BIOSAMPLE:SAMN15782467	SAMN15782467	15782467	SAMN15782467	SRS7229185	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.310	408172	marine metagenome	AMT2018_025_meta	AMT2018_025	Station 13	2018-10-01T15:07:00Z	Atlantic Ocean	NA	marine water, oceanic	31.857433 N 22.710183 W	0.000 umol/L	0.000 umol/L		CTD	AMT025	24.290 C
BIOSAMPLE:SAMN15782468	SAMN15782468	15782468	SAMN15782468	SRS7229197	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.327	408172	marine metagenome	AMT2018_027_meta	AMT2018_027	Station 14	2018-10-02T06:37:00Z	Atlantic Ocean	NA	marine water, oceanic	29.488317 N 23.932450 W	0.000 umol/L	0.000 umol/L		CTD	AMT027	24.960 C
BIOSAMPLE:SAMN15782469	SAMN15782469	15782469	SAMN15782469	SRS7229687	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.340	408172	marine metagenome	AMT2018_029_meta	AMT2018_029	Station 15	2018-10-02T12:50:00Z	Atlantic Ocean	NA	marine water, oceanic	28.609067 N 24.360850 W	0.000 umol/L	0.000 umol/L		CTD	AMT029	26.190 C
BIOSAMPLE:SAMN15782470	SAMN15782470	15782470	SAMN15782470	SRS7229698	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.340	408172	marine metagenome	AMT2018_031_meta	AMT2018_031	Station 16	2018-10-03T06:37:00Z	Atlantic Ocean	NA	marine water, oceanic	26.203767 N 25.521050 W	0.000 umol/L	0.000 umol/L		CTD	AMT031	25.190 C
BIOSAMPLE:SAMN15782471	SAMN15782471	15782471	SAMN15782471	SRS7229448	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.357	408172	marine metagenome	AMT2018_033_meta	AMT2018_033	Station 17	2018-10-03T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	25.178967 N 26.005867 W	0.000 umol/L	0.000 umol/L		CTD	AMT033	25.480 C
BIOSAMPLE:SAMN15782472	SAMN15782472	15782472	SAMN15782472	SRS7229458	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.357	408172	marine metagenome	AMT2018_035_meta	AMT2018_035	Station 18	2018-10-04T06:27:00Z	Atlantic Ocean	NA	marine water, oceanic	22.599667 N 27.213450 W	0.000 umol/L	0.000 umol/L		CTD	AMT035	25.810 C
BIOSAMPLE:SAMN15782473	SAMN15782473	15782473	SAMN15782473	SRS7229470	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.373	408172	marine metagenome	AMT2018_037_meta	AMT2018_037	Station 19	2018-10-04T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	21.446250 N 27.740267 W	0.000 umol/L	0.000 umol/L		CTD	AMT037	26.120 C
BIOSAMPLE:SAMN15782474	SAMN15782474	15782474	SAMN15782474	SRS7229313	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.390	408172	marine metagenome	AMT2018_039_meta	AMT2018_039	Station 20	2018-10-05T06:38:00Z	Atlantic Ocean	NA	marine water, oceanic	19.077767 N 28.816733 W	0.000 umol/L	0.000 umol/L		CTD	AMT039	26.200 C
BIOSAMPLE:SAMN15782475	SAMN15782475	15782475	SAMN15782475	SRS7229324	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.403	408172	marine metagenome	AMT2018_041_meta	AMT2018_041	Station 21	2018-10-05T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	17.741850 N 28.929883 W	0.000 umol/L	0.000 umol/L		CTD	AMT041	26.780 C
BIOSAMPLE:SAMN15782476	SAMN15782476	15782476	SAMN15782476	SRS7229335	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.403	408172	marine metagenome	AMT2018_043_meta	AMT2018_043	Station 22	2018-10-06T06:38:00Z	Atlantic Ocean	NA	marine water, oceanic	15.076083 N 28.612650 W	0.000 umol/L	0.000 umol/L		CTD	AMT043	27.080 C
BIOSAMPLE:SAMN15782477	SAMN15782477	15782477	SAMN15782477	SRS7229347	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.420	408172	marine metagenome	AMT2018_045_meta	AMT2018_045	Station 23	2018-10-06T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	13.811767 N 28.293767 W	0.000 umol/L	0.000 umol/L		CTD	AMT045	27.850 C
BIOSAMPLE:SAMN15782478	SAMN15782478	15782478	SAMN15782478	SRS7229211	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.420	408172	marine metagenome	AMT2018_047_meta	AMT2018_047	Station 24	2018-10-07T06:37:00Z	Atlantic Ocean	NA	marine water, oceanic	11.447017 N 27.709033 W	0.000 umol/L	0.000 umol/L		CTD	AMT047	28.100 C
BIOSAMPLE:SAMN15782479	SAMN15782479	15782479	SAMN15782479	SRS7229222	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.433	408172	marine metagenome	AMT2018_049_meta	AMT2018_049	Station 25	2018-10-07T15:00:00Z	Atlantic Ocean	NA	marine water, oceanic	10.064333 N 27.283050 W	0.000 umol/L	0.000 umol/L		CTD	AMT049	28.830 C
BIOSAMPLE:SAMN15782480	SAMN15782480	15782480	SAMN15782480	SRS7229713	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.450	408172	marine metagenome	AMT2018_051_meta	AMT2018_051	Station 27	2018-10-08T06:38:00Z	Atlantic Ocean	NA	marine water, oceanic	7.471267 N 26.650083 W	0.000 umol/L	0.000 umol/L		CTD	AMT051	28.770 C
BIOSAMPLE:SAMN15782481	SAMN15782481	15782481	SAMN15782481	SRS7229724	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.450	408172	marine metagenome	AMT2018_053_meta	AMT2018_053	Station 28	2018-10-08T15:02:00Z	Atlantic Ocean	NA	marine water, oceanic	6.255550 N 26.381150 W	0.000 umol/L	0.000 umol/L		CTD	AMT053	28.700 C
