id	accession	raw_id	primary_id	sra_id	bp_id	model	package	package_name	status	status_date	taxonomy_id	taxonomy_name	title	samp_name	paragraph	collection_date	geo_loc_name	host	isolation_source	lat_lon	nitro	phosphate	replicate	samp_collect_device	source_material_id	temp
BIOSAMPLE:SAMN15782492	SAMN15782492	15782492	SAMN15782492	SRS7229774	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.560	408172	marine metagenome	AMT2018_075_meta	AMT2018_075	Station 40	2018-10-14T15:07:00Z	Atlantic Ocean	NA	marine water, oceanic	16.032417 S 25.023567 W	0.000 umol/L	0.120 umol/L		CTD	AMT075	24.040 C
BIOSAMPLE:SAMN15782493	SAMN15782493	15782493	SAMN15782493	SRS7229161	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.577	408172	marine metagenome	AMT2018_077_meta	AMT2018_077	Station 41	2018-10-15T06:35:00Z	Atlantic Ocean	NA	marine water, oceanic	18.339017 S 25.087150 W	0.000 umol/L	0.100 umol/L		CTD	AMT077	23.400 C
BIOSAMPLE:SAMN15782494	SAMN15782494	15782494	SAMN15782494	SRS7229172	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.590	408172	marine metagenome	AMT2018_079_meta	AMT2018_079	Station 43	2018-10-16T06:39:00Z	Atlantic Ocean	NA	marine water, oceanic	20.380283 S 25.059150 W	0.000 umol/L	0.100 umol/L		CTD	AMT079	23.240 C
BIOSAMPLE:SAMN15782495	SAMN15782495	15782495	SAMN15782495	SRS7229805	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.590	408172	marine metagenome	AMT2018_081_meta	AMT2018_081	Station 44	2018-10-16T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	21.609433 S 25.048300 W	0.000 umol/L	0.090 umol/L		CTD	AMT081	23.190 C
BIOSAMPLE:SAMN15782496	SAMN15782496	15782496	SAMN15782496	SRS7229818	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.607	408172	marine metagenome	AMT2018_083_meta	AMT2018_083	Station 45	2018-10-17T06:31:00Z	Atlantic Ocean	NA	marine water, oceanic	24.000017 S 24.999967 W	0.000 umol/L	0.000 umol/L		CTD	AMT083	22.090 C
BIOSAMPLE:SAMN15782497	SAMN15782497	15782497	SAMN15782497	SRS7229640	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.607	408172	marine metagenome	AMT2018_085_meta	AMT2018_085	Station 46	2018-10-17T15:03:00Z	Atlantic Ocean	NA	marine water, oceanic	24.905900 S 25.903283 W	0.000 umol/L	0.000 umol/L		CTD	AMT085	22.060 C
BIOSAMPLE:SAMN15782498	SAMN15782498	15782498	SAMN15782498	SRS7229652	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.623	408172	marine metagenome	AMT2018_087_meta	AMT2018_087	Station 47	2018-10-18T06:43:00Z	Atlantic Ocean	NA	marine water, oceanic	26.655350 S 27.655350 W	0.000 umol/L	0.000 umol/L		CTD	AMT087	21.250 C
BIOSAMPLE:SAMN15782499	SAMN15782499	15782499	SAMN15782499	SRS7229351	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.640	408172	marine metagenome	AMT2018_089_meta	AMT2018_089	Station 48	2018-10-18T12:36:00Z	Atlantic Ocean	NA	marine water, oceanic	27.410767 S 28.410767 W	0.000 umol/L	0.080 umol/L		CTD	AMT089	21.120 C
BIOSAMPLE:SAMN15782500	SAMN15782500	15782500	SAMN15782500	SRS7229362	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.653	408172	marine metagenome	AMT2018_091_meta	AMT2018_091	Station 49	2018-10-19T06:36:00Z	Atlantic Ocean	NA	marine water, oceanic	29.127583 S 30.223483 W	0.000 umol/L	0.080 umol/L		CTD	AMT091	19.580 C
BIOSAMPLE:SAMN15782501	SAMN15782501	15782501	SAMN15782501	SRS7229373	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.653	408172	marine metagenome	AMT2018_093_meta	AMT2018_093	Station 50	2018-10-19T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	30.005917 S 31.149717 W	0.000 umol/L	0.000 umol/L		CTD	AMT093	19.640 C
BIOSAMPLE:SAMN15782502	SAMN15782502	15782502	SAMN15782502	SRS7229408	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.670	408172	marine metagenome	AMT2018_095_meta	AMT2018_095	Station 51	2018-10-20T06:45:00Z	Atlantic Ocean	NA	marine water, oceanic	31.614317 S 32.887583 W	0.000 umol/L	0.000 umol/L		CTD	AMT095	18.390 C
BIOSAMPLE:SAMN15782503	SAMN15782503	15782503	SAMN15782503	SRS7229419	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.683	408172	marine metagenome	AMT2018_097_meta	AMT2018_097	Station 52	2018-10-20T15:12:00Z	Atlantic Ocean	NA	marine water, oceanic	32.375317 S 33.674767 W	0.000 umol/L	0.000 umol/L		CTD	AMT097	18.450 C
BIOSAMPLE:SAMN15782504	SAMN15782504	15782504	SAMN15782504	SRS7229503	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.683	408172	marine metagenome	AMT2018_099_meta	AMT2018_099	Station 53	2018-10-21T06:40:00Z	Atlantic Ocean	NA	marine water, oceanic	33.829100 S 35.266417 W	0.000 umol/L	0.080 umol/L		CTD	AMT099	16.490 C
BIOSAMPLE:SAMN15782505	SAMN15782505	15782505	SAMN15782505	SRS7229512	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.700	408172	marine metagenome	AMT2018_101_meta	AMT2018_101	Station 54	2018-10-21T15:10:00Z	Atlantic Ocean	NA	marine water, oceanic	34.580550 S 36.091433 W	0.000 umol/L	0.110 umol/L		CTD	AMT101	16.410 C
BIOSAMPLE:SAMN15782506	SAMN15782506	15782506	SAMN15782506	SRS7229572	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.700	408172	marine metagenome	AMT2018_103_meta	AMT2018_103	Station 55	2018-10-22T07:45:00Z	Atlantic Ocean	NA	marine water, oceanic	36.167150 S 37.866333 W	1.750 umol/L	0.240 umol/L		CTD	AMT103	15.620 C
BIOSAMPLE:SAMN15782507	SAMN15782507	15782507	SAMN15782507	SRS7229584	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.717	408172	marine metagenome	AMT2018_105_meta	AMT2018_105	Station 56	2018-10-22T16:15:00Z	Atlantic Ocean	NA	marine water, oceanic	37.012083 S 38.834600 W	0.310 umol/L	0.110 umol/L		CTD	AMT105	16.770 C
BIOSAMPLE:SAMN15782508	SAMN15782508	15782508	SAMN15782508	SRS7229832	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.730	408172	marine metagenome	AMT2018_107_meta	AMT2018_107	Station 57	2018-10-23T07:37:00Z	Atlantic Ocean	NA	marine water, oceanic	38.583900 S 40.654200 W	2.720 umol/L	0.320 umol/L		CTD	AMT107	14.360 C
BIOSAMPLE:SAMN15782509	SAMN15782509	15782509	SAMN15782509	SRS7229844	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.730	408172	marine metagenome	AMT2018_109_meta	AMT2018_109	Station 58	2018-10-23T16:11:00Z	Atlantic Ocean	NA	marine water, oceanic	39.209700 S 41.475100 W	4.490 umol/L	0.530 umol/L		CTD	AMT109	12.600 C
